編號,案類,發生(現)日期,發生時段,發生(現)地點
1,搶奪,1070119,22~24,台北市萬華區萬大路423巷1~30號
2,搶奪,1070209,02~04,台北市中山區新生北路3段56巷
3,搶奪,1070313,18~20,台北市北投區關渡里知行路316巷22弄1~30號
4,搶奪,1070316,18~20,台北市中正區富水里思源街與永春街口
5,搶奪,1070519,00~02,台北市萬華區(桂林路與柳州街)
6,搶奪,1070524,12~14,台北市中正區北平西路1~30號
7,搶奪,1070611,18~20,台北市北投區八仙里西安街2段(與公館路口)
8,搶奪,1070612,10~12,台北市萬華區(西園路1段與廣州街交叉口)
9,搶奪,1070626,04~06,台北市大同區民族西路241~270號
10,搶奪,1070706,00~02,台北市中山區林森北路511~540號
11,搶奪,1070730,20~22,台北市內湖區康樂街1~30號
12,搶奪,1071118,04~06,台北市士林區福佳里中正路211~240號
13,搶奪,1071118,16~18,台北市內湖區民權東路6段91~120號
14,搶奪,1071227,12~14,台北市大同區伊寧街75巷(伊寧街)
15,搶奪,1071230,22~24,台北市南港區重陽路451~480號
16,搶奪,1080118,12~14,台北市中正區三愛里臨沂街59巷31~60號
17,搶奪,1080118,20~22,台北市萬華區環河南路2段5巷口巷
18,搶奪,1080124,12~14,台北市中正區新營里金華街1~30號
19,搶奪,1080212,14~16,台北市中正區黎明里忠孝西路1段31~60號
20,搶奪,1080212,16~18,台北市中正區黎明里忠孝西路1段31~60號
21,搶奪,1080315,16~18,台北市中山區吉林路121~150號
22,搶奪,1080321,16~18,台北市內湖區基湖路35巷31~60號
23,搶奪,1080327,18~20,台北市中正區網溪里廈門街123巷(內)
24,搶奪,1080327,20~22,台北市中正區河堤里同安街紀州庵前2段
25,搶奪,1080430,18~20,台北市萬華區成都路76巷口弄
26,搶奪,1080802,16~18,台北市萬華區(華西街與桂林路口)
27,搶奪,1080807,06~08,台北市大同區哈密街59巷21弄
28,搶奪,1080826,16~18,台北市信義區四維里虎林街70巷31~60號
29,搶奪,1081118,22~24,台北市士林區天山里中山北路7段1~30號
30,搶奪,1081205,18~20,台北市萬華區漢中街31~60號
31,搶奪,1081218,14~16,台北市士林區承德里承德路4段121~150號
32,搶奪,1090202,18~20,台北市南港區忠孝東路6段1~30號
33,搶奪,1090202,18~20,台北市南港區忠孝東路6段1~30號
34,搶奪,1090210,22~24,台北市萬華區武昌街2段121~150號
35,搶奪,1090216,12~14,台北市萬華區昆明街181~210號
36,搶奪,1090222,16~18,台北市內湖區東湖路113巷61~90號
37,搶奪,1090223,22~24,台北市文山區景行里羅斯福路6段391~420號
38,搶奪,1090407,18~20,台北市士林區承德里基河路31~60號
39,搶奪,1090416,14~16,台北市大同區迪化街1段(永樂市場2號
40,搶奪,1090422,00~02,台北市大安區龍安里和平東路1段199巷
